modelo,origem,converged,iterations,optimizer,maxiter_config,warning_convergencia_emitido,aic,llf
SARIMA_sem_exog,1995-12,True,46,lbfgs,,False,1710.1181154968044,-849.0590577484022
SARIMAX_atual,1995-12,True,44,lbfgs,,False,1664.6794528948788,-823.3397264474394
SARIMA_sem_exog,1996-03,False,50,lbfgs,,True,1744.5711336761015,-866.2855668380507
SARIMAX_atual,1996-03,False,50,lbfgs,,True,1699.6364682952023,-840.8182341476012
SARIMA_sem_exog,1996-06,False,50,lbfgs,,True,1780.4754481286163,-884.2377240643082
SARIMAX_atual,1996-06,True,39,lbfgs,,False,1734.2797882232153,-858.1398941116076
SARIMA_sem_exog,1996-09,True,45,lbfgs,,False,1818.7294901869736,-903.3647450934868
SARIMAX_atual,1996-09,False,50,lbfgs,,True,1765.832948527307,-873.9164742636535
SARIMA_sem_exog,1996-12,False,50,lbfgs,,True,1846.8077793710486,-917.4038896855243
SARIMAX_atual,1996-12,True,48,lbfgs,,False,1802.3515835284866,-892.1757917642433
SARIMA_sem_exog,1997-03,False,50,lbfgs,,True,1885.8882315933872,-936.9441157966936
SARIMAX_atual,1997-03,False,50,lbfgs,,True,1844.2042046537822,-913.1021023268911
SARIMA_sem_exog,1997-06,False,50,lbfgs,,True,1916.7712402638267,-952.3856201319134
SARIMAX_atual,1997-06,False,50,lbfgs,,True,1874.8274396352435,-928.4137198176218
SARIMA_sem_exog,1997-09,False,50,lbfgs,,True,1947.7010723415128,-967.8505361707564
SARIMAX_atual,1997-09,False,50,lbfgs,,True,1904.8554456190714,-943.4277228095357
SARIMA_sem_exog,1997-12,False,50,lbfgs,,True,1979.7429360230713,-983.8714680115356
SARIMAX_atual,1997-12,False,50,lbfgs,,True,1935.0085401091624,-958.5042700545812
SARIMA_sem_exog,1998-03,False,50,lbfgs,,True,2019.1080681309654,-1003.5540340654827
SARIMAX_atual,1998-03,False,50,lbfgs,,True,1973.2286199713544,-977.6143099856772
SARIMA_sem_exog,1998-06,False,50,lbfgs,,True,2053.0944131278716,-1020.5472065639358
SARIMAX_atual,1998-06,False,50,lbfgs,,True,2006.4961478391679,-994.2480739195839
SARIMA_sem_exog,1998-09,True,45,lbfgs,,False,2083.366023763533,-1035.6830118817666
