ano,mes,prec,fonte,local
2015,1,287.9,CHIRPS,Ananas
2015,2,254.9,CHIRPS,Ananas
2015,3,215.4,CHIRPS,Ananas
2015,4,105.7,CHIRPS,Ananas
2015,5,135.0,CHIRPS,Ananas
2015,6,8.3,CHIRPS,Ananas
2015,7,19.0,CHIRPS,Ananas
2015,8,13.2,CHIRPS,Ananas
2015,9,9.4,CHIRPS,Ananas
2015,10,46.1,CHIRPS,Ananas
2015,11,42.1,CHIRPS,Ananas
2015,12,95.0,CHIRPS,Ananas
2016,1,327.7,CHIRPS,Ananas
2016,2,178.0,CHIRPS,Ananas
2016,3,246.0,CHIRPS,Ananas
2016,4,178.0,CHIRPS,Ananas
2016,5,105.9,CHIRPS,Ananas
2016,6,15.8,CHIRPS,Ananas
2016,7,0.0,CHIRPS,Ananas
2016,8,22.2,CHIRPS,Ananas
2016,9,76.5,CHIRPS,Ananas
2016,10,128.2,CHIRPS,Ananas
2016,11,149.9,CHIRPS,Ananas
2016,12,126.4,CHIRPS,Ananas
2017,1,259.4,CHIRPS,Ananas
2017,2,502.1,CHIRPS,Ananas
2017,3,276.7,CHIRPS,Ananas
2017,4,309.9,CHIRPS,Ananas
2017,5,52.3,CHIRPS,Ananas
2017,6,15.5,CHIRPS,Ananas
2017,7,6.8,CHIRPS,Ananas
2017,8,18.5,CHIRPS,Ananas
2017,9,8.5,CHIRPS,Ananas
2017,10,59.9,CHIRPS,Ananas
2017,11,184.4,CHIRPS,Ananas
2017,12,145.5,CHIRPS,Ananas
2018,1,239.9,CHIRPS,Ananas
2018,2,395.6,CHIRPS,Ananas
2018,3,392.4,CHIRPS,Ananas
2018,4,284.5,CHIRPS,Ananas
2018,5,63.3,CHIRPS,Ananas
2018,6,6.6,CHIRPS,Ananas
2018,7,0.0,CHIRPS,Ananas
2018,8,7.6,CHIRPS,Ananas
2018,9,32.4,CHIRPS,Ananas
2018,10,110.6,CHIRPS,Ananas
2018,11,242.5,CHIRPS,Ananas
2018,12,260.7,CHIRPS,Ananas
2019,1,230.5,CHIRPS,Ananas
2019,2,223.0,CHIRPS,Ananas
2019,3,383.2,CHIRPS,Ananas
2019,4,268.8,CHIRPS,Ananas
2019,5,132.6,CHIRPS,Ananas
2019,6,6.4,CHIRPS,Ananas
2019,7,12.6,CHIRPS,Ananas
2019,8,0.0,CHIRPS,Ananas
2019,9,13.0,CHIRPS,Ananas
2019,10,117.1,CHIRPS,Ananas
2019,11,163.5,CHIRPS,Ananas
2019,12,120.5,CHIRPS,Ananas
2020,1,226.1,CHIRPS,Ananas
2020,2,348.3,CHIRPS,Ananas
2020,3,440.2,CHIRPS,Ananas
2020,4,533.6,CHIRPS,Ananas
2020,5,90.8,CHIRPS,Ananas
2020,6,8.2,CHIRPS,Ananas
2020,7,1.6,CHIRPS,Ananas
2020,8,9.8,CHIRPS,Ananas
2020,9,18.0,CHIRPS,Ananas
2020,10,56.8,CHIRPS,Ananas
2020,11,210.7,CHIRPS,Ananas
2020,12,196.8,CHIRPS,Ananas
2021,1,194.7,CHIRPS,Ananas
2021,2,314.3,CHIRPS,Ananas
2021,3,313.0,CHIRPS,Ananas
2021,4,194.0,CHIRPS,Ananas
2021,5,88.9,CHIRPS,Ananas
2021,6,10.7,CHIRPS,Ananas
2021,7,6.9,CHIRPS,Ananas
2021,8,6.0,CHIRPS,Ananas
2021,9,82.8,CHIRPS,Ananas
2021,10,183.2,CHIRPS,Ananas
2021,11,194.2,CHIRPS,Ananas
2021,12,341.6,CHIRPS,Ananas
2022,1,400.1,CHIRPS,Ananas
2022,2,203.8,CHIRPS,Ananas
2022,3,300.1,CHIRPS,Ananas
2022,4,87.1,CHIRPS,Ananas
2022,5,48.6,CHIRPS,Ananas
2022,6,23.2,CHIRPS,Ananas
2022,7,0.0,CHIRPS,Ananas
2022,8,0.0,CHIRPS,Ananas
2022,9,12.2,CHIRPS,Ananas
2022,10,66.8,CHIRPS,Ananas
2022,11,273.7,CHIRPS,Ananas
2022,12,255.3,CHIRPS,Ananas
2023,1,185.9,CHIRPS,Ananas
2023,2,243.5,CHIRPS,Ananas
2023,3,427.5,CHIRPS,Ananas
2023,4,282.1,CHIRPS,Ananas
2023,5,123.7,CHIRPS,Ananas
2023,6,7.1,CHIRPS,Ananas
2023,7,0.0,CHIRPS,Ananas
2023,8,9.8,CHIRPS,Ananas
2023,9,35.5,CHIRPS,Ananas
2023,10,65.2,CHIRPS,Ananas
2023,11,71.7,CHIRPS,Ananas
2023,12,125.3,CHIRPS,Ananas
2024,1,254.7,CHIRPS,Ananas
2024,2,356.1,CHIRPS,Ananas
2024,3,397.3,CHIRPS,Ananas
2024,4,202.5,CHIRPS,Ananas
2024,5,13.8,CHIRPS,Ananas
2024,6,2.3,CHIRPS,Ananas
2024,7,7.6,CHIRPS,Ananas
2024,8,7.4,CHIRPS,Ananas
2024,9,10.2,CHIRPS,Ananas
2024,10,55.5,CHIRPS,Ananas
2024,11,110.5,CHIRPS,Ananas
2024,12,0.0,CHIRPS,Ananas
2015,1,320.7,CHIRPS,Araguatins
2015,2,317.3,CHIRPS,Araguatins
2015,3,308.4,CHIRPS,Araguatins
2015,4,138.4,CHIRPS,Araguatins
2015,5,87.1,CHIRPS,Araguatins
2015,6,12.4,CHIRPS,Araguatins
2015,7,9.4,CHIRPS,Araguatins
2015,8,14.4,CHIRPS,Araguatins
2015,9,7.0,CHIRPS,Araguatins
2015,10,47.6,CHIRPS,Araguatins
2015,11,38.7,CHIRPS,Araguatins
2015,12,86.7,CHIRPS,Araguatins
2016,1,310.2,CHIRPS,Araguatins
2016,2,147.9,CHIRPS,Araguatins
2016,3,266.2,CHIRPS,Araguatins
2016,4,187.7,CHIRPS,Araguatins
2016,5,62.2,CHIRPS,Araguatins
2016,6,12.6,CHIRPS,Araguatins
2016,7,0.0,CHIRPS,Araguatins
2016,8,12.1,CHIRPS,Araguatins
2016,9,81.8,CHIRPS,Araguatins
2016,10,107.4,CHIRPS,Araguatins
2016,11,150.9,CHIRPS,Araguatins
2016,12,134.7,CHIRPS,Araguatins
2017,1,278.1,CHIRPS,Araguatins
2017,2,546.5,CHIRPS,Araguatins
2017,3,302.1,CHIRPS,Araguatins
2017,4,321.6,CHIRPS,Araguatins
2017,5,64.8,CHIRPS,Araguatins
2017,6,8.7,CHIRPS,Araguatins
2017,7,5.1,CHIRPS,Araguatins
2017,8,14.2,CHIRPS,Araguatins
