ano,mes,prec
1981,1,332.8
1981,2,172.4
1981,3,356.2
1981,4,86.4
1981,5,5.7
1981,6,23.7
1981,7,0.0
1981,8,14.7
1981,9,8.3
1981,10,165.8
1981,11,215.5
1981,12,159.7
1982,1,510.9
1982,2,272.7
1982,3,258.8
1982,4,215.8
1982,5,31.9
1982,6,9.6
1982,7,0.0
1982,8,19.4
1982,9,85.8
1982,10,130.0
1982,11,190.5
1982,12,236.9
1983,1,220.1
1983,2,223.7
1983,3,340.0
1983,4,51.3
1983,5,0.0
1983,6,12.1
1983,7,0.0
1983,8,10.1
1983,9,53.0
1983,10,151.9
1983,11,207.8
1983,12,267.2
1984,1,183.5
1984,2,198.7
1984,3,269.9
1984,4,319.6
1984,5,32.9
1984,6,9.9
1984,7,2.5
1984,8,12.1
1984,9,102.5
1984,10,167.9
1984,11,138.2
1984,12,141.7
1985,1,543.4
1985,2,312.6
1985,3,257.2
1985,4,402.1
1985,5,119.7
1985,6,20.6
1985,7,8.0
1985,8,13.4
1985,9,53.2
1985,10,253.9
1985,11,221.8
1985,12,401.6
1986,1,269.4
1986,2,261.7
1986,3,372.2
1986,4,205.2
1986,5,24.4
1986,6,11.1
1986,7,0.0
1986,8,19.9
1986,9,42.9
1986,10,248.2
1986,11,128.0
1986,12,188.9
1987,1,196.2
1987,2,152.0
1987,3,336.7
1987,4,122.5
1987,5,21.1
1987,6,7.2
1987,7,0.0
1987,8,9.0
1987,9,56.7
1987,10,179.6
1987,11,190.5
1987,12,232.2
1988,1,221.6
1988,2,230.5
1988,3,272.9
1988,4,299.9
1988,5,14.6
1988,6,23.3
1988,7,0.0
1988,8,0.0
1988,9,39.0
1988,10,183.7
1988,11,249.4
1988,12,315.6
1989,1,209.2
1989,2,201.0
1989,3,354.7
1989,4,308.2
1989,5,88.6
1989,6,24.5
1989,7,12.7
1989,8,9.1
1989,9,42.9
1989,10,187.8
1989,11,245.9
1989,12,408.8
1990,1,153.7
1990,2,362.1
1990,3,216.3
1990,4,175.3
1990,5,40.4
1990,6,7.8
1990,7,8.3
1990,8,16.7
1990,9,87.8
1990,10,136.6
1990,11,172.0
1990,12,207.2
1991,1,321.8
1991,2,178.1
1991,3,313.3
1991,4,214.2
1991,5,81.3
1991,6,7.7
1991,7,0.0
1991,8,0.0
1991,9,62.2
1991,10,71.5
1991,11,131.1
1991,12,204.8
1992,1,325.8
1992,2,159.1
1992,3,184.4
1992,4,130.5
1992,5,19.7
1992,6,21.9
1992,7,0.0
1992,8,9.6
1992,9,110.5
1992,10,68.1
1992,11,202.9
1992,12,296.0
1993,1,109.2
1993,2,391.4
1993,3,168.4
1993,4,225.5
1993,5,68.4
1993,6,9.7
1993,7,2.0
1993,8,27.6
1993,9,61.7
1993,10,141.9
1993,11,243.6
1993,12,272.9
1994,1,307.5
1994,2,316.0
1994,3,298.0
1994,4,185.4
1994,5,47.5
1994,6,39.6
1994,7,0.0
1994,8,6.7
1994,9,64.2
1994,10,127.5
1994,11,134.3
1994,12,260.9
1995,1,178.1
1995,2,265.5
1995,3,280.3
1995,4,266.6
1995,5,170.6
1995,6,7.4
1995,7,0.0
1995,8,0.0
1995,9,18.2
1995,10,108.3
1995,11,228.3
1995,12,243.0
1996,1,215.7
1996,2,261.4
1996,3,277.7
1996,4,343.1
1996,5,77.2
1996,6,6.9
1996,7,0.0
1996,8,0.0
1996,9,12.5
1996,10,169.1
1996,11,221.1
1996,12,149.6
1997,1,363.9
1997,2,212.1
1997,3,431.3
1997,4,282.0
1997,5,58.0
1997,6,9.3
1997,7,0.0
1997,8,0.6
1997,9,38.7
1997,10,113.5
1997,11,89.1
1997,12,264.2
1998,1,338.7
1998,2,162.4
1998,3,231.7
1998,4,59.5
1998,5,65.7
1998,6,16.1
1998,7,8.2
1998,8,0.0
1998,9,26.7
1998,10,111.4
1998,11,241.1
1998,12,182.0
1999,1,207.6
1999,2,162.9
1999,3,285.9
1999,4,166.5
1999,5,131.1
1999,6,10.2
1999,7,0.0
1999,8,0.0
1999,9,74.7
1999,10,117.4
1999,11,357.2
1999,12,279.1
2000,1,264.1
2000,2,294.5
2000,3,199.8
2000,4,189.6
2000,5,41.9
2000,6,8.3
2000,7,4.2
2000,8,7.3
2000,9,99.9
2000,10,96.3
2000,11,196.0
2000,12,268.3
2001,1,180.0
2001,2,170.7
2001,3,251.6
2001,4,214.2
2001,5,118.3
2001,6,10.1
2001,7,0.0
2001,8,5.7
2001,9,30.1
2001,10,143.0
2001,11,197.5
2001,12,251.2
2002,1,373.7
2002,2,204.3
2002,3,187.7
2002,4,134.1
2002,5,77.4
2002,6,9.1
2002,7,0.5
2002,8,0.0
2002,9,54.0
2002,10,104.3
2002,11,143.8
2002,12,245.4
2003,1,222.3
2003,2,271.3
2003,3,232.8
2003,4,174.2
2003,5,89.3
2003,6,19.6
2003,7,0.0
2003,8,18.8
2003,9,29.0
2003,10,120.7
2003,11,174.7
2003,12,226.7
2004,1,329.4
2004,2,351.1
2004,3,272.2
2004,4,170.5
2004,5,22.8
2004,6,12.1
2004,7,6.9
2004,8,33.5
2004,9,21.0
2004,10,170.4
2004,11,135.5
2004,12,201.3
2005,1,249.7
2005,2,262.5
2005,3,402.4
2005,4,149.5
2005,5,70.9
2005,6,7.0
2005,7,0.0
2005,8,0.0
2005,9,58.3
2005,10,57.0
2005,11,156.9
2005,12,335.9
2006,1,170.7
2006,2,258.1
2006,3,277.0
2006,4,454.0
2006,5,103.8
2006,6,8.1
2006,7,0.0
2006,8,8.4
2006,9,63.0
2006,10,183.2
2006,11,162.6
2006,12,193.2
2007,1,236.8
2007,2,418.4
2007,3,143.5
2007,4,215.7
2007,5,61.6
2007,6,7.9
2007,7,0.0
2007,8,0.0
2007,9,23.3
2007,10,102.8
2007,11,144.9
2007,12,185.9
2008,1,274.0
2008,2,242.9
2008,3,294.8
2008,4,216.0
2008,5,128.6
2008,6,7.0
2008,7,0.0
2008,8,8.2
2008,9,36.0
2008,10,78.4
2008,11,227.1
2008,12,237.8
2009,1,178.0
2009,2,206.8
2009,3,233.8
2009,4,297.0
2009,5,256.6
2009,6,9.7
2009,7,0.0
2009,8,13.8
2009,9,44.6
2009,10,162.0
2009,11,123.7
2009,12,283.9
2010,1,218.3
2010,2,212.9
2010,3,181.2
2010,4,203.5
2010,5,31.0
